State/ Territory1,suburbName,"value1","value2","Tax on taxable income
$","value3","value4","Australian annuities and superannuation income streams taxable component untaxed element
$","Reportable employer superannuation contributions
$","value5","value6","value7","People with private health insurance
no.","Work related travel expenses
$","Total work related self education expenses
$","value8","value9","value10","value11","value12","Net rent3
$"

ACT,BARTON,5902,723189316,213007863,13482090,438827343,56525988,6230364,9946751,10421207,28063737,4735,237987,796615,7632871,12060850,57557039,125194598,47886557,-74981

ACT,BARTON,5902,723189316,213007863,13482090,438827343,56525988,6230364,9946751,10421207,28063737,4735,237987,796615,7632871,12060850,57557039,125194598,47886557,-74981
ACT,CANBERRA,5902,723189316,213007863,13482090,438827343,56525988,6230364,9946751,10421207,28063737,4735,237987,796615,7632871,12060850,57557039,125194598,47886557,-74981
ACT,CAPITAL HILL,5902,723189316,213007863,13482090,438827343,56525988,6230364,9946751,10421207,28063737,4735,237987,796615,7632871,12060850,57557039,125194598,47886557,-74981
ACT,DEAKIN,5902,723189316,213007863,13482090,438827343,56525988,6230364,9946751,10421207,28063737,4735,237987,796615,7632871,12060850,57557039,125194598,47886557,-74981
ACT,DUNTROON,5902,723189316,213007863,13482090,438827343,56525988,6230364,9946751,10421207,28063737,4735,237987,796615,7632871,12060850,57557039,125194598,47886557,-74981
ACT,FAIRBAIRN RAAF,5902,723189316,213007863,13482090,438827343,56525988,6230364,9946751,10421207,28063737,4735,237987,796615,7632871,12060850,57557039,125194598,47886557,-74981
ACT,HARMAN,5902,723189316,213007863,13482090,438827343,56525988,6230364,9946751,10421207,28063737,4735,237987,796615,7632871,12060850,57557039,125194598,47886557,-74981
ACT,HMAS HARMAN,5902,723189316,213007863,13482090,438827343,56525988,6230364,9946751,10421207,28063737,4735,237987,796615,7632871,12060850,57557039,125194598,47886557,-74981
ACT,PARKES,5902,723189316,213007863,13482090,438827343,56525988,6230364,9946751,10421207,28063737,4735,237987,796615,7632871,12060850,57557039,125194598,47886557,-74981
ACT,PARLIAMENT HOUSE,5902,723189316,213007863,13482090,438827343,56525988,6230364,9946751,10421207,28063737,4735,237987,796615,7632871,12060850,57557039,125194598,47886557,-74981
ACT,RUSSELL,5902,723189316,213007863,13482090,438827343,56525988,6230364,9946751,10421207,28063737,4735,237987,796615,7632871,12060850,57557039,125194598,47886557,-74981
ACT,RUSSELL HILL,5902,723189316,213007863,13482090,438827343,56525988,6230364,9946751,10421207,28063737,4735,237987,796615,7632871,12060850,57557039,125194598,47886557,-74981
ACT,YARRALUMLA,5902,723189316,213007863,13482090,438827343,56525988,6230364,9946751,10421207,28063737,4735,237987,796615,7632871,12060850,57557039,125194598,47886557,-74981

ACT,ACTON,3588,251686879,61163482,4276876,199681742,9872419,2003716,1847357,1793579,32599386,1987,190837,592073,3761176,811120,9696401,16328901,14741959,-246901
ACT,BLACK MOUNTAIN,3588,251686879,61163482,4276876,199681742,9872419,2003716,1847357,1793579,32599386,1987,190837,592073,3761176,811120,9696401,16328901,14741959,-246901
ACT,CANBERRA,3588,251686879,61163482,4276876,199681742,9872419,2003716,1847357,1793579,32599386,1987,190837,592073,3761176,811120,9696401,16328901,14741959,-246901
ACT,CITY,3588,251686879,61163482,4276876,199681742,9872419,2003716,1847357,1793579,32599386,1987,190837,592073,3761176,811120,9696401,16328901,14741959,-246901

ACT,AINSLIE,22409,1864216741,445703055,33769253,1486780146,110771789,17480567,16174213,10879593,150346912,15103,976257,2518626,26492673,9505293,39232942,112320132,90404532,2207578
ACT,DICKSON,22409,1864216741,445703055,33769253,1486780146,110771789,17480567,16174213,10879593,150346912,15103,976257,2518626,26492673,9505293,39232942,112320132,90404532,2207578
ACT,DOWNER,22409,1864216741,445703055,33769253,1486780146,110771789,17480567,16174213,10879593,150346912,15103,976257,2518626,26492673,9505293,39232942,112320132,90404532,2207578
ACT,HACKETT,22409,1864216741,445703055,33769253,1486780146,110771789,17480567,16174213,10879593,150346912,15103,976257,2518626,26492673,9505293,39232942,112320132,90404532,2207578
ACT,LYNEHAM,22409,1864216741,445703055,33769253,1486780146,110771789,17480567,16174213,10879593,150346912,15103,976257,2518626,26492673,9505293,39232942,112320132,90404532,2207578
ACT,O'CONNOR,22409,1864216741,445703055,33769253,1486780146,110771789,17480567,16174213,10879593,150346912,15103,976257,2518626,26492673,9505293,39232942,112320132,90404532,2207578
ACT,WATSON,22409,1864216741,445703055,33769253,1486780146,110771789,17480567,16174213,10879593,150346912,15103,976257,2518626,26492673,9505293,39232942,112320132,90404532,2207578


ACT,FORREST,7231,947207102,285084135,17898135,553811537,54410415,7559094,11117381,14845078,42238264,5686,406063,915521,9383869,13215677,63158638,122933886,56228331,837090
ACT,GRIFFITH,7231,947207102,285084135,17898135,553811537,54410415,7559094,11117381,14845078,42238264,5686,406063,915521,9383869,13215677,63158638,122933886,56228331,837090
ACT,MANUKA,7231,947207102,285084135,17898135,553811537,54410415,7559094,11117381,14845078,42238264,5686,406063,915521,9383869,13215677,63158638,122933886,56228331,837090
ACT,RED HILL,7231,947207102,285084135,17898135,553811537,54410415,7559094,11117381,14845078,42238264,5686,406063,915521,9383869,13215677,63158638,122933886,56228331,837090

ACT,CAUSEWAY,8942,882380982,227344615,16021670,704469007,48069183,7530352,7550441,7902611,60384511,6398,522457,1657610,12799507,3386174,29214627,46302240,49549668,-621805
ACT,KINGSTON,8942,882380982,227344615,16021670,704469007,48069183,7530352,7550441,7902611,60384511,6398,522457,1657610,12799507,3386174,29214627,46302240,49549668,-621805
ACT,NARRABUNDAH,8942,882380982,227344615,16021670,704469007,48069183,7530352,7550441,7902611,60384511,6398,522457,1657610,12799507,3386174,29214627,46302240,49549668,-621805

ACT,CURTIN,7949,804051982,215097101,14894439,577681247,65777525,6458059,9212463,7416979,27993592,6179,398358,1001089,10183163,11879161,40439041,63324761,43962374,620256
ACT,GARRAN,7949,804051982,215097101,14894439,577681247,65777525,6458059,9212463,7416979,27993592,6179,398358,1001089,10183163,11879161,40439041,63324761,43962374,620256
ACT,HUGHES,7949,804051982,215097101,14894439,577681247,65777525,6458059,9212463,7416979,27993592,6179,398358,1001089,10183163,11879161,40439041,63324761,43962374,620256

ACT,CHIFLEY,8574,686281718,160083991,12079997,553212528,35954443,5135402,5435761,3962655,42798720,5226,612261,1480465,12490104,2493064,15159478,36833334,38097789,1034484
ACT,LYONS,8574,686281718,160083991,12079997,553212528,35954443,5135402,5435761,3962655,42798720,5226,612261,1480465,12490104,2493064,15159478,36833334,38097789,1034484
ACT,O'MALLEY,8574,686281718,160083991,12079997,553212528,35954443,5135402,5435761,3962655,42798720,5226,612261,1480465,12490104,2493064,15159478,36833334,38097789,1034484
ACT,PHILLIP,8574,686281718,160083991,12079997,553212528,35954443,5135402,5435761,3962655,42798720,5226,612261,1480465,12490104,2493064,15159478,36833334,38097789,1034484
ACT,SWINGER HILL,8574,686281718,160083991,12079997,553212528,35954443,5135402,5435761,3962655,42798720,5226,612261,1480465,12490104,2493064,15159478,36833334,38097789,1034484
ACT,WODEN,8574,686281718,160083991,12079997,553212528,35954443,5135402,5435761,3962655,42798720,5226,612261,1480465,12490104,2493064,15159478,36833334,38097789,1034484

ACT,FARRER,9796,856978181,212607585,15681167,620675180,74544980,8367043,8153591,8345762,33140531,7173,563784,986679,12380678,3156603,21126459,95836588,49109334,2189435
ACT,ISAACS,9796,856978181,212607585,15681167,620675180,74544980,8367043,8153591,8345762,33140531,7173,563784,986679,12380678,3156603,21126459,95836588,49109334,2189435
ACT,MAWSON,9796,856978181,212607585,15681167,620675180,74544980,8367043,8153591,8345762,33140531,7173,563784,986679,12380678,3156603,21126459,95836588,49109334,2189435
ACT,PEARCE,9796,856978181,212607585,15681167,620675180,74544980,8367043,8153591,8345762,33140531,7173,563784,986679,12380678,3156603,21126459,95836588,49109334,2189435
ACT,TORRENS,9796,856978181,212607585,15681167,620675180,74544980,8367043,8153591,8345762,33140531,7173,563784,986679,12380678,3156603,21126459,95836588,49109334,2189435

ACT,CANBERRA INTERNATIONAL AIRPORT,569,42314059,9964444,758929,26362324,1265867,211642,405393,1294054,1359557,270,47231,33914,651542,82701,3123094,11219520,2373709,300893
ACT,FYSHWICK,569,42314059,9964444,758929,26362324,1265867,211642,405393,1294054,1359557,270,47231,33914,651542,82701,3123094,11219520,2373709,300893
ACT,PIALLIGO,569,42314059,9964444,758929,26362324,1265867,211642,405393,1294054,1359557,270,47231,33914,651542,82701,3123094,11219520,2373709,300893
ACT,SYMONSTON,569,42314059,9964444,758929,26362324,1265867,211642,405393,1294054,1359557,270,47231,33914,651542,82701,3123094,11219520,2373709,300893

ACT,CANBERRA MC,66,4290023,861012,37287,3948416,56006,20764,339,2482,332712,20,8844,6599,93484,7858,45682,106726,210401,55054

ACT,BRINDABELLA,23178,1918506317,449037315,35505842,1567769201,124384927,16207299,13830227,9206557,86736011,16518,1432053,2547933,31060792,6138966,31159552,123213232,85755467,-2265068
ACT,CHAPMAN,23178,1918506317,449037315,35505842,1567769201,124384927,16207299,13830227,9206557,86736011,16518,1432053,2547933,31060792,6138966,31159552,123213232,85755467,-2265068
ACT,DUFFY,23178,1918506317,449037315,35505842,1567769201,124384927,16207299,13830227,9206557,86736011,16518,1432053,2547933,31060792,6138966,31159552,123213232,85755467,-2265068
ACT,FISHER,23178,1918506317,449037315,35505842,1567769201,124384927,16207299,13830227,9206557,86736011,16518,1432053,2547933,31060792,6138966,31159552,123213232,85755467,-2265068
ACT,HOLDER,23178,1918506317,449037315,35505842,1567769201,124384927,16207299,13830227,9206557,86736011,16518,1432053,2547933,31060792,6138966,31159552,123213232,85755467,-2265068
ACT,MOUNT STROMLO,23178,1918506317,449037315,35505842,1567769201,124384927,16207299,13830227,9206557,86736011,16518,1432053,2547933,31060792,6138966,31159552,123213232,85755467,-2265068
ACT,PIERCES CREEK,23178,1918506317,449037315,35505842,1567769201,124384927,16207299,13830227,9206557,86736011,16518,1432053,2547933,31060792,6138966,31159552,123213232,85755467,-2265068
ACT,RIVETT,23178,1918506317,449037315,35505842,1567769201,124384927,16207299,13830227,9206557,86736011,16518,1432053,2547933,31060792,6138966,31159552,123213232,85755467,-2265068
ACT,STIRLING,23178,1918506317,449037315,35505842,1567769201,124384927,16207299,13830227,9206557,86736011,16518,1432053,2547933,31060792,6138966,31159552,123213232,85755467,-2265068
ACT,URIARRA,23178,1918506317,449037315,35505842,1567769201,124384927,16207299,13830227,9206557,86736011,16518,1432053,2547933,31060792,6138966,31159552,123213232,85755467,-2265068
ACT,URIARRA FOREST,23178,1918506317,449037315,35505842,1567769201,124384927,16207299,13830227,9206557,86736011,16518,1432053,2547933,31060792,6138966,31159552,123213232,85755467,-2265068
ACT,WARAMANGA,23178,1918506317,449037315,35505842,1567769201,124384927,16207299,13830227,9206557,86736011,16518,1432053,2547933,31060792,6138966,31159552,123213232,85755467,-2265068
ACT,WESTON,23178,1918506317,449037315,35505842,1567769201,124384927,16207299,13830227,9206557,86736011,16518,1432053,2547933,31060792,6138966,31159552,123213232,85755467,-2265068
ACT,WESTON CREEK,23178,1918506317,449037315,35505842,1567769201,124384927,16207299,13830227,9206557,86736011,16518,1432053,2547933,31060792,6138966,31159552,123213232,85755467,-2265068

ACT,BRADDON,13248,1176043096,292908249,20445418,914470364,60107042,8783754,10009059,9145241,128792074,8531,680699,1991954,16035444,4646172,41100621,70091806,58643431,91861
ACT,CAMPBELL,13248,1176043096,292908249,20445418,914470364,60107042,8783754,10009059,9145241,128792074,8531,680699,1991954,16035444,4646172,41100621,70091806,58643431,91861
ACT,REID,13248,1176043096,292908249,20445418,914470364,60107042,8783754,10009059,9145241,128792074,8531,680699,1991954,16035444,4646172,41100621,70091806,58643431,91861
ACT,TURNER,13248,1176043096,292908249,20445418,914470364,60107042,8783754,10009059,9145241,128792074,8531,680699,1991954,16035444,4646172,41100621,70091806,58643431,91861

ACT,ARANDA,13505,1053930390,244633173,19187188,805429313,96618082,9803715,9161180,8896496,51389622,9328,708549,1300164,15302486,6354454,26772109,356172912,50329992,1522761
ACT,COOK,13505,1053930390,244633173,19187188,805429313,96618082,9803715,9161180,8896496,51389622,9328,708549,1300164,15302486,6354454,26772109,356172912,50329992,1522761
ACT,HAWKER,13505,1053930390,244633173,19187188,805429313,96618082,9803715,9161180,8896496,51389622,9328,708549,1300164,15302486,6354454,26772109,356172912,50329992,1522761
ACT,JAMISON CENTRE,13505,1053930390,244633173,19187188,805429313,96618082,9803715,9161180,8896496,51389622,9328,708549,1300164,15302486,6354454,26772109,356172912,50329992,1522761
ACT,MACQUARIE,13505,1053930390,244633173,19187188,805429313,96618082,9803715,9161180,8896496,51389622,9328,708549,1300164,15302486,6354454,26772109,356172912,50329992,1522761
ACT,PAGE,13505,1053930390,244633173,19187188,805429313,96618082,9803715,9161180,8896496,51389622,9328,708549,1300164,15302486,6354454,26772109,356172912,50329992,1522761
ACT,SCULLIN,13505,1053930390,244633173,19187188,805429313,96618082,9803715,9161180,8896496,51389622,9328,708549,1300164,15302486,6354454,26772109,356172912,50329992,1522761
ACT,WEETANGERA,13505,1053930390,244633173,19187188,805429313,96618082,9803715,9161180,8896496,51389622,9328,708549,1300164,15302486,6354454,26772109,356172912,50329992,1522761

ACT,CHARNWOOD,29853,2104978987,446400772,38874517,1775663245,127082587,15397503,12085279,6300056,95329340,18777,2230009,2534529,40023006,6500264,20577997,140385806,71602262,-4567976
ACT,DUNLOP,29853,2104978987,446400772,38874517,1775663245,127082587,15397503,12085279,6300056,95329340,18777,2230009,2534529,40023006,6500264,20577997,140385806,71602262,-4567976
ACT,FOREY,29853,2104978987,446400772,38874517,1775663245,127082587,15397503,12085279,6300056,95329340,18777,2230009,2534529,40023006,6500264,20577997,140385806,71602262,-4567976
ACT,FLYNN,29853,2104978987,446400772,38874517,1775663245,127082587,15397503,12085279,6300056,95329340,18777,2230009,2534529,40023006,6500264,20577997,140385806,71602262,-4567976
ACT,FRASER,29853,2104978987,446400772,38874517,1775663245,127082587,15397503,12085279,6300056,95329340,18777,2230009,2534529,40023006,6500264,20577997,140385806,71602262,-4567976
ACT,HIGGINS,29853,2104978987,446400772,38874517,1775663245,127082587,15397503,12085279,6300056,95329340,18777,2230009,2534529,40023006,6500264,20577997,140385806,71602262,-4567976
ACT,HOLT,29853,2104978987,446400772,38874517,1775663245,127082587,15397503,12085279,6300056,95329340,18777,2230009,2534529,40023006,6500264,20577997,140385806,71602262,-4567976
ACT,KIPPAX,29853,2104978987,446400772,38874517,1775663245,127082587,15397503,12085279,6300056,95329340,18777,2230009,2534529,40023006,6500264,20577997,140385806,71602262,-4567976
ACT,KIPPAX CENTRE,29853,2104978987,446400772,38874517,1775663245,127082587,15397503,12085279,6300056,95329340,18777,2230009,2534529,40023006,6500264,20577997,140385806,71602262,-4567976
ACT,LATHAM,29853,2104978987,446400772,38874517,1775663245,127082587,15397503,12085279,6300056,95329340,18777,2230009,2534529,40023006,6500264,20577997,140385806,71602262,-4567976
ACT,MACGREGOR,29853,2104978987,446400772,38874517,1775663245,127082587,15397503,12085279,6300056,95329340,18777,2230009,2534529,40023006,6500264,20577997,140385806,71602262,-4567976
ACT,MELBA,29853,2104978987,446400772,38874517,1775663245,127082587,15397503,12085279,6300056,95329340,18777,2230009,2534529,40023006,6500264,20577997,140385806,71602262,-4567976
ACT,SPENCE,29853,2104978987,446400772,38874517,1775663245,127082587,15397503,12085279,6300056,95329340,18777,2230009,2534529,40023006,6500264,20577997,140385806,71602262,-4567976

ACT,BELCONNEN,112,10533426,2719208,197345,8071068,857017,63846,179348,119970,119049,80,2867,7280,143693,52195,78478,694102,1184458,-3204

ACT,BELCONNEN,25580,1767049327,380490384,30956031,1444963580,107673826,14228437,12665218,11610198,124716567,14954,1696066,3270275,32307949,6871221,26775761,142729905,84289308,-1945008
ACT,BELCONNEN DC,25580,1767049327,380490384,30956031,1444963580,107673826,14228437,12665218,11610198,124716567,14954,1696066,3270275,32307949,6871221,26775761,142729905,84289308,-1945008
ACT,BRUCE,25580,1767049327,380490384,30956031,1444963580,107673826,14228437,12665218,11610198,124716567,14954,1696066,3270275,32307949,6871221,26775761,142729905,84289308,-1945008
ACT,EVATT,25580,1767049327,380490384,30956031,1444963580,107673826,14228437,12665218,11610198,124716567,14954,1696066,3270275,32307949,6871221,26775761,142729905,84289308,-1945008
ACT,GIRALANG,25580,1767049327,380490384,30956031,1444963580,107673826,14228437,12665218,11610198,124716567,14954,1696066,3270275,32307949,6871221,26775761,142729905,84289308,-1945008
ACT,KALEEN,25580,1767049327,380490384,30956031,1444963580,107673826,14228437,12665218,11610198,124716567,14954,1696066,3270275,32307949,6871221,26775761,142729905,84289308,-1945008
ACT,LAWSON,25580,1767049327,380490384,30956031,1444963580,107673826,14228437,12665218,11610198,124716567,14954,1696066,3270275,32307949,6871221,26775761,142729905,84289308,-1945008
ACT,MCKELLAR,25580,1767049327,380490384,30956031,1444963580,107673826,14228437,12665218,11610198,124716567,14954,1696066,3270275,32307949,6871221,26775761,142729905,84289308,-1945008

ACT,GREENWAY,2888,204546143,42791731,3697684,173260603,13571215,1335593,1256876,628842,12972301,1672,220791,338891,3707045,494162,2198130,15949778,6031779,-480238
ACT,TUGGERANONG,2888,204546143,42791731,3697684,173260603,13571215,1335593,1256876,628842,12972301,1672,220791,338891,3707045,494162,2198130,15949778,6031779,-480238

ACT,KAMBAH,56,5198339,1256050,101890,4237624,537929,54350,37000,39402,0,43,2496,2550,63101,7716,50409,184499,611533,44536

ACT,ERINDALE CENTRE,9929,718296323,156431474,13212684,570674062,66040303,6145173,5838369,3663887,26978936,6780,744734,671376,11985743,2441462,11625709,56125188,29436175,-381408
ACT,OXLEY,6184,455365310,99584439,8425430,366069598,38290965,4034108,3592429,2115331,17427543,4072,488105,548257,7733815,1428282,7464589,27996731,20028041,-135933
ACT,WANNIASSA,6184,455365310,99584439,8425430,366069598,38290965,4034108,3592429,2115331,17427543,4072,488105,548257,7733815,1428282,7464589,27996731,20028041,-135933

ACT,FADDEN,8680,670208364,151881221,12483674,524069217,62831583,7162073,5890543,3737685,23117585,6470,648989,554531,10427153,2089928,10795511,41778076,33470188,-703795
ACT,GOWRIE,8680,670208364,151881221,12483674,524069217,62831583,7162073,5890543,3737685,23117585,6470,648989,554531,10427153,2089928,10795511,41778076,33470188,-703795
ACT,MACARTHUR,8680,670208364,151881221,12483674,524069217,62831583,7162073,5890543,3737685,23117585,6470,648989,554531,10427153,2089928,10795511,41778076,33470188,-703795
ACT,MONASH,8680,670208364,151881221,12483674,524069217,62831583,7162073,5890543,3737685,23117585,6470,648989,554531,10427153,2089928,10795511,41778076,33470188,-703795

ACT,BONYTHON,18571,1324699900,280040556,24650512,1129774063,71300668,11552079,7739400,4006682,46006197,11789,2147706,1200152,25496989,3191280,14347720,89798134,47768611,-3074745
