suburbName,value
BARTON,28063737
BARTON,28063737
CANBERRA,28063737
CAPITAL HILL,28063737
DEAKIN,28063737
DUNTROON,28063737
FAIRBAIRN RAAF,28063737
HARMAN,28063737
HMAS HARMAN,28063737
PARKES,28063737
PARLIAMENT HOUSE,28063737
RUSSELL,28063737
RUSSELL HILL,28063737
YARRALUMLA,28063737
ACTON,32599386
BLACK MOUNTAIN,32599386
CANBERRA,32599386
CITY,32599386
AINSLIE,150346912
DICKSON,150346912
DOWNER,150346912
HACKETT,150346912
LYNEHAM,150346912
O'CONNOR,150346912
WATSON,150346912
FORREST,42238264
GRIFFITH,42238264
MANUKA,42238264
RED HILL,42238264
CAUSEWAY,60384511
KINGSTON,60384511
NARRABUNDAH,60384511
CURTIN,27993592
GARRAN,27993592
HUGHES,27993592
CHIFLEY,42798720
LYONS,42798720
O'MALLEY,42798720
PHILLIP,42798720
SWINGER HILL,42798720
WODEN,42798720
FARRER,33140531
ISAACS,33140531
MAWSON,33140531
PEARCE,33140531
TORRENS,33140531
CANBERRA INTERNATIONAL AIRPORT,1359557
FYSHWICK,1359557
PIALLIGO,1359557
SYMONSTON,1359557
CANBERRA MC,332712
BRINDABELLA,86736011
CHAPMAN,86736011
DUFFY,86736011
FISHER,86736011
HOLDER,86736011
MOUNT STROMLO,86736011
PIERCES CREEK,86736011
RIVETT,86736011
STIRLING,86736011
URIARRA,86736011
URIARRA FOREST,86736011
WARAMANGA,86736011
WESTON,86736011
WESTON CREEK,86736011
BRADDON,128792074
CAMPBELL,128792074
REID,128792074
TURNER,128792074
ARANDA,51389622
COOK,51389622
HAWKER,51389622
JAMISON CENTRE,51389622
MACQUARIE,51389622
PAGE,51389622
SCULLIN,51389622
WEETANGERA,51389622
CHARNWOOD,95329340
DUNLOP,95329340
FOREY,95329340
FLYNN,95329340
FRASER,95329340
HIGGINS,95329340
HOLT,95329340
KIPPAX,95329340
KIPPAX CENTRE,95329340
LATHAM,95329340
MACGREGOR,95329340
MELBA,95329340
SPENCE,95329340
BELCONNEN,119049
BELCONNEN,124716567
BELCONNEN DC,124716567
BRUCE,124716567
EVATT,124716567
GIRALANG,124716567
KALEEN,124716567
LAWSON,124716567
MCKELLAR,124716567
GREENWAY,12972301
TUGGERANONG,12972301
KAMBAH,0
ERINDALE CENTRE,26978936
OXLEY,17427543
WANNIASSA,17427543
FADDEN,23117585
GOWRIE,23117585
MACARTHUR,23117585
MONASH,23117585
BONYTHON,46006197
CALWELL,46006197
CHISHOLM,46006197
GILMORE,46006197
ISABELLA PLAINS,46006197
RICHARDSON,46006197
THEORDORE,46006197
BANKS,30036022
CONDER,30036022
GORDON,30036022
CRACE,10829469
MITCHELL,10829469
FRANKLIN,26221468
GINNINDERRA VILLAGE,91369582
NGUNNAWAL,91369582
NICHOLLS,91369582
PALMERSTON,91369582
AMAROO,77557574
BONNER,77557574
FORDE,77557574
HARRISON,362115

GUNGAHLIN,142123133
JACKA,20319333
TAYLOR,82479233
CASEY,65634133
HALL,99837233
THROSBY,38982433
FLOREY,91041133
CANBERRA CENTRAL,29418233
MOLONGLO VALLEY,49320333
MOLONGLO,43547433
DENMAN PROSPECT,93917333
COOMBS,39234233
WODEN VALLEY,57421433

MAJURA,27323331
CANBERRA AIRPORT,29241233
KOWEN,29772133
JERRABOMBERRA,2424331
BEARD,23234334
HUME,31913132
THEODORE,15235334

MACNAMARA,41242332
COREE,31413341
STROMLO,37362335
PADDYS RIVER,24524332
TENNENT,18429333
COTTER RIVER,39822351
RENDEZVOUS CREEK,25211332
BOOTH,37431335
MOUNT CLEAR,12441334
