value,suburbName
2692346.23,TEMPLESTOWE
2431602.4,BACK CREEK
1646578.47,PARKERVILLE
1780801.78,SUNBURY
615170.31,HAMILTON VALLEY
482362.85,ALBANY
830944.13,BRACKEN RIDGE
1135419.81,BAULKHAM HILLS
207735.5,CHELMER
498895.58,BEULAH PARK
474025.46,BEULAH PARK
58471.22,MOONEE PONDS
3713970.17,FORESTVILLE
358409.66,EASTWOOD
634759.17,CROMER
1448640.48,BLIGH PARK
799854.69,BENDIGO
746591.75,AITKENVALE
2127851.76,AROONA
1318930.09,BOODARIE
1301481.14,DENBARKER
951034.98,BOBBIN HEAD
2023856.15,MAFFRA WEST UPPER
356960.29,KEILOR
795566.21,LITTLE RIVER
60174,MONA VALE
1245194.92,AUBURN
1403885.27,CLARKSON
797456.14,ATTWOOD
1639628.72,COLLINGWOOD
4526852.57,BELMONT
272070.06,SEAFORTH
1716839.59,CAULFIELD EAST
1352845,BRUNSWICK
335806.99,BORONIA
452086.46,HEATHWOOD
2088893.62,BULLENGAROOK
1147701.79,GREEN FIELDS
240234.45,MENTONE
889021.45,COTHAM
1291391.2,BEARD
1544890.3,BENOWA
878972.02,ALBANY
628464.78,AVON
1124436.4,NORTHMEAD
1495034.97,ENGADINE
708102.39,HALLETT COVE
1607770.66,GREENVALE
1632262.52,AYRFORD
54403.8,ELSTERNWICK
438577.91,ELTHAM
1051992.1,MELBOURNE
1238132.01,CLIFTON HILL
2529205.92,BELAIR
152227,KINGSTON
75003,CAMBERWELL EAST
911468.14,KURRABA POINT
157982,DENBARKER
2023818.6,CARLTON NORTH
100866,FRANKSTON
500835.19,DARLINGHURST
