value,suburbName
90621545.46,TEMPLESTOWE
87731927.98,BACK CREEK
59043936.05,PARKERVILLE
57793042.65,SUNBURY
22324238.32,HAMILTON VALLEY
15616111.73,ALBANY
25703820.92,BRACKEN RIDGE
38532033.23,BAULKHAM HILLS
7383095.6,CHELMER
16911628.13,BEULAH PARK
18494230.33,BEULAH PARK
1871538.5,MOONEE PONDS
137388566.6,FORESTVILLE
8399224.78,EASTWOOD
21974406.84,CROMER
44474152.87,BLIGH PARK
25528816.12,BENDIGO
26314020.25,AITKENVALE
64612260.22,AROONA
42429569.73,BOODARIE
44582965.66,DENBARKER
32696583.4,BOBBIN HEAD
71798052.44,MAFFRA WEST UPPER
13095786.91,KEILOR
30327274.84,LITTLE RIVER
1958371.13,MONA VALE
43016536.96,AUBURN
34851984.35,CLARKSON
28219729.46,ATTWOOD
45340425.44,COLLINGWOOD
129411356.8,BELMONT
7099709.79,SEAFORTH
56887958.83,CAULFIELD EAST
43352260.83,BRUNSWICK
12166227.63,BORONIA
20475241.42,HEATHWOOD
70120152.15,BULLENGAROOK
38500188.74,GREEN FIELDS
8213315.15,MENTONE
32399438.19,COTHAM
38280834.72,BEARD
45633488.43,BENOWA
26040394.77,ALBANY
22686071.28,AVON
35987093.51,NORTHMEAD
42557487.28,ENGADINE
23441257.7,HALLETT COVE
49650777.95,GREENVALE
37891839.54,AYRFORD
2231348.39,ELSTERNWICK
10416322.11,ELTHAM
22159976.01,MELBOURNE
23623798.82,CLIFTON HILL
32718054.2,BELAIR
960391,KINGSTON
600050,CAMBERWELL EAST
6224358.79,KURRABA POINT
977713,DENBARKER
6670135.27,CARLTON NORTH
303613,FRANKSTON
1006249.71,DARLINGHURST
