value,value,value,value,value,value,value,value,value,suburbName
55716,61449,61992,71262,75120,74990,68733,66722,69088,DARWIN
44542,45807,47723,68607,66698,73334,77429,79811,91465,BARANGAROO
60339,62452,63799,64719,64240,66197,66485,67005,71597,ALAWA
59185,61832,63160,63273,62800,64626,65356,64868,68006,ANULA
76348,73025,74982,79588,78787,80947,81945,75869,81272,BAGOT
42202,44691,45155,45881,46457,48181,47658,48833,51643,ACACIA HILLS
121138,81971,71883,71860,67936,70823,74056,79747,78808,BERRIMAH
66958,70637,80905,82018,84175,65946,72671,120177,119054,THE UNIVERSITY OF SYDNEY
62337,64867,63031,60547,60150,62359,68805,60747,64166,HOLTZE
60377,63396,65035,67017,66015,67718,66144,66193,68974,ARCHER
63886,67668,71322,72801,71198,72318,69222,68390,72355,BAKEWELL
66881,70602,72316,70955,69723,72853,71797,73228,76136,COOLALINGA
62717,66038,66280,67650,68089,71130,69889,70836,73134,GIRRAWEEN
56693,59019,60850,58252,56855,61189,64882,62538,63156,MANTON
58755,62922,60326,66047,65104,67834,67111,65416,70325,BERRY SPRINGS
59708,59557,58096,58446,49395,51683,51651,48308,52871,DUNDEE BEACH
49063,46841,46549,47040,46529,47170,50321,52342,57167,BROADWAY
54613,57734,65047,66077,66301,68127,66055,63317,66223,DARWIN RIVER
45988,49767,52605,53087,52412,53458,54394,53804,61657,BATCHELOR
53723,53266,52055,56425,54915,52090,53306,53521,57363,ADELAIDE RIVER
54252,55156,46654,46147,40142,40108,38448,43736,58592,PINE CREEK
54373,55941,54196,56110,57995,58620,60635,63119,65996,COSSACK
51440,53660,108816,82162,65810,58973,59638,62989,65086,CHIPPENDALE
32825,38428,39028,40343,37988,40522,41217,41668,45509,ARNOLD
60906,64734,61276,64368,64480,69577,72177,74141,73459,TINDAL
47397,51123,42690,43617,40906,45152,43957,47361,52911,BORROLOOLA
54311,58561,58079,56788,57251,59280,60961,60418,62440,TENNANT CREEK
39310,42135,43192,43049,43043,44185,43381,42880,47798,AVON DOWNS
54604,56679,57704,59724,60704,63014,64062,65806,69774,ALICE SPRINGS
77683,85103,82938,84475,82525,86162,89091,90107,98288,DARLING ISLAND
37617,38797,39965,41760,42747,43995,42433,44643,47251,AHERRENGE
72444,66204,56522,59254,58317,61156,64626,66207,68345,GAPUWIYAK
72622,76891,79838,83548,88233,89782,95184,98592,105826,DARLINGHURST
81517,86222,86713,86215,83343,86277,88081,91971,92328,ALYANGULA
64298,62867,63557,63625,62868,64868,66258,68672,69149,JABIRU
80866,84671,85971,90741,96522,107694,105840,113242,123326,ELIZABETH BAY
69283,72061,72810,76455,81428,82008,86569,91712,97487,ALEXANDRIA
62545,66693,68611,70432,73941,78768,81182,84823,90400,REDFERN
58477,61583,62869,65510,66025,68577,69913,71880,74786,WATERLOO
50808,52701,54493,56377,57443,61689,62822,65368,69890,EASTLAKES
58227,60335,61563,63034,65432,68866,71262,73461,77663,BANKSMEADOW
52404,54716,55337,57767,57420,57730,57451,58632,62588,MASCOT
103069,111537,118200,123446,125651,134514,137532,142569,161447,CENTENNIAL PARK
74270,78217,82920,85624,88690,97562,97183,100606,114600,BONDI JUNCTION
143112,155172,163820,180412,169334,193440,173287,195204,218902,BELLEVUE HILL
97965,112423,113344,119592,117744,130935,136652,135069,186705,BRONTE
126411,127421,141298,141868,141215,162698,183417,172600,212881,WOOLLAHRA
78433,84520,86058,90539,94839,102915,103604,105861,131390,BEN BUCKLER
177514,200015,189293,192500,187769,198828,199842,205957,218528,DARLING POINT
112953,130759,138959,146521,160378,242428,202541,170051,266381,DOUBLE BAY
103648,102065,105681,111140,117913,118861,129329,129550,139219,ROSE BAY
139099,154010,185684,182829,178282,181954,197906,186025,230597,DIAMOND BAY
79459,83259,84639,89077,90205,94736,98479,101363,109986,CLOVELLY
54559,57109,58458,60209,62100,64428,67029,70688,72868,DACEYVILLE
66671,69990,69138,70290,72478,73204,75873,79427,85283,KENSINGTON
77750,83308,85733,91364,91092,99220,99267,103372,115693,COOGEE
63362,66603,71090,71062,75547,78096,80238,86899,90498,MAROUBRA
56528,59546,60829,64026,65398,68513,69983,71459,76712,CHIFLEY
71660,73502,78117,77692,81235,83794,87266,90496,94206,FOREST LODGE
82523,85624,86976,92351,91942,97633,99912,103586,110716,ANNANDALE
88564,92312,95474,103107,101616,106474,112366,113594,119201,ROZELLE
75617,78983,82041,86509,87522,92048,95025,97592,104994,LEICHHARDT
109101,117342,116682,120235,127913,127145,132937,136771,150522,BALMAIN
63307,66153,66983,69422,71213,76145,79147,81548,88199,ENMORE
73026,76925,76653,79928,82040,86246,90916,94888,99493,ERSKINEVILLE
55997,58399,60830,63983,65839,69005,71054,75280,81044,ST PETERS
80640,91343,94524,97055,96100,96641,100281,108233,113229,HABERFIELD
70538,74756,76775,79132,83192,86678,88660,90501,99927,ABBOTSFORD
85121,90204,91443,93342,93589,98108,99678,106374,111020,DRUMMOYNE
68648,70524,72494,75200,78042,80694,83556,87050,96673,STANMORE
65177,67698,69884,71178,72144,75734,79903,83445,88082,LEWISHAM
74068,75181,74358,76065,81260,82369,84833,86344,88619,CAMPERDOWN
34328,31576,30538,26790,24855,28264,21329,27940,28956,UNSW SYDNEY
101955,94422,100332,105337,113216,117377,126865,109792,117274,HMAS PLATYPUS
109304,116154,114862,120033,122542,136681,146316,137182,186719,KIRRIBILLI
93355,96281,98131,104824,107131,110259,117024,122279,129982,CAMMERAY
130801,152050,151574,159736,169365,169142,168940,170619,191225,NORTHBRIDGE
75787,78724,79117,81929,83072,87607,89776,96624,95482,ARTARMON
88633,92085,92892,101075,97501,101901,106560,106756,113053,CROWS NEST
92046,95088,95917,97067,99324,104002,107503,110555,118372,LANE COVE
63681,65861,67613,68883,70091,73910,79883,76599,80729,CHATSWOOD
106489,110349,112123,115139,114502,121899,124364,128036,134457,CASTLECRAG
108702,119012,114922,114867,116849,122446,120941,127899,136830,CASTLE COVE
103181,107932,108137,109617,113215,112003,113331,111058,116483,EAST LINDFIELD
101582,104972,104255,110528,107590,109323,110209,107897,118031,EAST KILLARA
86689,90204,88570,88978,90891,92241,94160,97287,99995,GORDON
96043,97281,100202,103138,104469,108138,109715,110145,116041,PYMBLE
89485,93327,93320,99066,100029,104762,107933,107005,114423,BOBBIN HEAD
84076,88794,90263,91382,92670,92346,97665,94499,100828,NORTH ST IVES
84496,91130,88087,90620,92932,94714,95232,97090,104573,NORMANHURST
55117,56542,57042,58723,59469,62381,63917,66034,69712,ASQUITH
59142,60324,61231,63424,64082,66717,68780,70661,73476,MOUNT COLAH
57023,65657,62026,59631,60418,62861,65739,67233,71076,MOUNT KURING-GAI
59011,60887,61695,64422,65481,67909,69321,71773,76715,BEROWRA
57947,59147,61615,62429,66538,67097,67925,70524,75598,BEROWRA CREEK
55357,57345,58504,61132,62178,62167,65427,69746,70120,BAR POINT
86258,87784,98632,91526,101705,98557,103108,100130,121720,AKUNA BAY
64593,69025,69487,71297,72783,75271,76744,82027,86590,BELROSE
66009,70790,71938,74125,75756,78957,80792,84288,89585,FRENCHS FOREST
71101,74988,80330,79655,79171,83653,87218,88015,94375,FORESTVILLE
137647,161579,155143,161360,158897,171904,171144,177645,188324,MOSMAN
94190,95209,100193,102762,100710,106505,112625,111716,118371,KURRABA POINT
104881,105928,107605,115355,113285,124346,118004,118857,131947,CREMORNE
